timestamp,Air pressure,Total acceleration,Altitude
0.0,101300.0,0.0,0.0
0.01,101300.0,3.062,0.0
0.02,101300.0,15.94,0.0004188
0.03,101300.0,28.823,0.002
0.04,101300.0,41.71,0.007
0.05,101300.0,54.6,0.016
0.06,101300.0,53.352,0.031
0.07,101300.0,52.102,0.05
0.08,101300.0,50.851,0.075
0.09,101300.0,49.598,0.105
0.1,101300.0,48.345,0.14
0.11,101300.0,48.605,0.18
0.12,101300.0,48.865,0.224
0.13,101300.0,49.125,0.274
0.14,101300.0,49.385,0.328
0.15,101300.0,49.645,0.388
0.16,101300.0,49.905,0.452
0.17,101300.0,50.165,0.521
0.18,101300.0,50.425,0.595
0.19,101300.0,50.685,0.675
0.2,101300.0,50.945,0.759
0.21,101300.0,50.936,0.849
0.22,101300.0,50.928,0.943
0.23,101300.0,50.919,1.043
0.24,101300.0,50.911,1.148
0.25,101300.0,50.902,1.258
0.26,101300.0,50.893,1.373
0.27,101300.0,50.884,1.493
0.28,101300.0,50.874,1.618
0.29,101300.0,50.864,1.748
0.3,101300.0,50.854,1.883
0.31,101300.0,50.843,2.024
0.32,101300.0,50.832,2.169
0.33,101300.0,50.821,2.32
0.34,101300.0,50.809,2.476
0.35,101300.0,50.797,2.636
0.36,101300.0,50.785,2.802
0.37,101300.0,50.773,2.973
0.38,101300.0,50.76,3.149
0.39,101300.0,50.747,3.33
0.4,101300.0,50.734,3.516
0.41,101300.0,50.699,3.707
0.42,101300.0,50.663,3.904
0.43,101300.0,50.628,4.105
0.445,101300.0,50.573,4.416
0.468,101300.0,50.49,4.905
0.5,101300.0,50.367,5.656
0.549,101200.0,50.005,6.882
0.599,101200.0,49.625,8.262
0.649,101200.0,49.238,9.767
0.699,101200.0,48.846,11.395
0.749,101200.0,48.446,13.145
0.799,101100.0,48.039,15.016
0.849,101100.0,47.627,17.007
0.899,101100.0,47.208,19.118
0.949,101100.0,46.785,21.346
1.0,101000.0,46.343,23.751
1.05,101000.0,45.698,26.215
