timestamp,Air pressure,Total acceleration,Altitude
0.0,101300.0,0.0,0.0
0.01,101300.0,3.082,0.0
0.02,101300.0,15.961,0.0004201
0.03,101300.0,28.844,0.002
0.04,101300.0,41.73,0.007
0.05,101300.0,54.621,0.016
0.06,101300.0,53.372,0.031
0.07,101300.0,52.122,0.05
0.08,101300.0,50.871,0.075
0.09,101300.0,49.618,0.105
0.1,101300.0,48.365,0.14
0.11,101300.0,48.626,0.18
0.12,101300.0,48.886,0.224
0.13,101300.0,49.146,0.274
0.14,101300.0,49.406,0.328
0.15,101300.0,49.667,0.388
0.16,101300.0,49.927,0.452
0.17,101300.0,50.187,0.521
0.18,101300.0,50.447,0.596
0.19,101300.0,50.708,0.675
0.2,101300.0,50.968,0.76
0.21,101300.0,50.96,0.849
0.22,101300.0,50.951,0.944
0.23,101300.0,50.943,1.044
0.245,101300.0,50.93,1.203
0.268,101300.0,50.909,1.463
0.301,101300.0,50.874,1.902
0.351,101300.0,50.818,2.658
0.4,101300.0,50.754,3.518
0.45,101300.0,50.574,4.525
0.5,101300.0,50.385,5.658
0.55,101200.0,50.013,6.918
0.6,101200.0,49.637,8.302
0.65,101200.0,49.25,9.811
0.7,101200.0,48.857,11.442
0.75,101200.0,48.457,13.196
0.8,101100.0,48.05,15.071
0.85,101100.0,47.64,17.066
0.9,101100.0,47.22,19.18
0.95,101100.0,46.794,21.413
1.0,101000.0,46.363,23.762
1.05,101000.0,45.719,26.227
1.1,101000.0,45.071,28.806
1.15,101000.0,44.416,31.498
1.2,100900.0,43.755,34.301
1.25,100900.0,43.09,37.213
1.3,100900.0,42.421,40.233
1.35,100800.0,41.746,43.359
1.4,100800.0,41.068,46.589
1.45,100700.0,40.386,49.921
1.5,100700.0,39.701,53.355
1.55,100700.0,38.937,56.887
1.6,100600.0,38.17,60.516
1.65,100600.0,37.399,64.241
1.7,100500.0,36.627,68.058
1.75,100500.0,35.851,71.967
1.8,100400.0,35.071,75.965
1.85,100400.0,34.29,80.05
1.9,100300.0,33.503,84.22
1.95,100300.0,32.717,88.474
2.0,100200.0,31.93,92.809
2.05,100200.0,31.272,97.223
2.1,100100.0,30.613,101.716
2.15,100100.0,29.949,106.284
2.2,100000.0,29.284,110.928
2.25,99970.0,28.62,115.644
2.3,99910.0,27.957,120.431
2.35,99860.0,27.295,125.288
2.4,99800.0,26.631,130.214
2.45,99740.0,25.969,135.205
2.5,99680.0,25.308,140.262
2.55,99620.0,24.76,145.382
2.6,99560.0,24.213,150.564
2.65,99500.0,23.665,155.806
2.7,99440.0,23.12,161.107
2.75,99370.0,22.574,166.467
2.8,99310.0,22.031,171.882
2.85,99240.0,21.492,177.353
2.9,99180.0,20.952,182.877
2.95,99110.0,20.416,188.453
3.0,99050.0,19.888,194.08
3.05,98980.0,19.099,199.757
3.1,98920.0,18.315,205.481
3.15,98850.0,18.459,211.251
3.2,98780.0,13.27,217.064
3.25,98710.0,7.869,222.911
3.3,98640.0,2.633,228.776
3.35,98570.0,1.839,234.648
3.4,98500.0,5.571,240.516
3.45,98440.0,9.445,246.37
3.5,98370.0,10.298,252.201
3.55,98300.0,11.148,258.007
3.6,98230.0,11.999,263.785
3.65,98160.0,13.199,269.533
3.7,98100.0,14.39,275.248
3.75,98030.0,15.154,280.928
3.8,97960.0,15.914,286.569
3.85,97900.0,16.023,292.171
3.9,97830.0,16.128,297.733
3.95,97770.0,16.234,303.255
4.0,97700.0,16.343,308.736
4.05,97640.0,16.454,314.176
4.1,97580.0,16.35,319.575
4.15,97510.0,16.248,324.934
4.2,97450.0,16.147,330.252
